round,phase,agg_auroc,medical_train_loss,medical_val_loss,medical_val_auroc,medical_val_auprc,surgical_train_loss,surgical_val_loss,surgical_val_auroc,surgical_val_auprc,cardiac_train_loss,cardiac_val_loss,cardiac_val_auroc,cardiac_val_auprc
24,FINETUNE,0.9642169561476489,0.4942448071278302,0.515516120775611,0.9474478872601668,0.83182777182093,0.35620764577064384,0.3186096774565207,0.9694571405661135,0.8589918192278553,0.2532046606627906,0.22413420583148605,0.978974016906827,0.8434472505062748
25,FINETUNE,0.9638952415228703,0.49156556057587136,0.5069747850694487,0.947500527105983,0.8324960936721547,0.35889022234751256,0.3187783681661696,0.9696010299450282,0.8606609987355892,0.24551017542437809,0.2273305601720671,0.9779050280138825,0.842384957454689
26,FINETUNE,0.9641744059034703,0.49239843526640825,0.5038254307170885,0.947425670981153,0.8320032241990467,0.3484735002576494,0.319491746961265,0.9695395539874732,0.8593269011308282,0.24430118655649627,0.22565150441764628,0.9788193901259032,0.8447972886085507
27,FINETUNE,0.9639568983019289,0.4984728814621942,0.5063879988362304,0.9474822729659016,0.8319157584464612,0.34944065827496196,0.32028742184912834,0.9693359705628167,0.8584904454378937,0.23539957687622162,0.22801781272135893,0.9782892411627355,0.8421015681511558
28,FINETUNE,0.9643356051123319,0.4875176025109481,0.5093750613453114,0.9477184447472651,0.8334505767648059,0.34514638614289617,0.32023318705929293,0.9690655654451662,0.8592876633958103,0.24110409964512033,0.22182623217406783,0.979290875064458,0.8454793266278069
29,FINETUNE,0.9645856716882383,0.48593363769154635,0.4999138144528971,0.9481408370584514,0.8349811940357632,0.34361742700443787,0.3198240942044838,0.9691889628382291,0.8586987100340205,0.23860773678596428,0.22145390069311105,0.979441518485686,0.8456365087757735
30,FINETUNE,0.9646518094958193,0.481343378502447,0.5088038411551872,0.9477884897033915,0.8340392575639215,0.3496280078630464,0.3204120158947803,0.9689595416922817,0.8584822286465202,0.23667035214602947,0.21771372688337437,0.980181699141912,0.8480208118546267
31,FINETUNE,0.9647659254588039,0.47580716910615434,0.49855787946587116,0.9489768483731881,0.8365128262329924,0.3623255421312488,0.3201099302921746,0.9689341494489437,0.8585683321598607,0.23627824289042776,0.2198114113032239,0.9792097593761045,0.8466662534025515
32,FINETUNE,0.9646819566593742,0.47444463184977,0.5023835119420448,0.9488138346571121,0.8359402532769081,0.35404653482291165,0.3203255710368221,0.9688931654772406,0.8589553708315789,0.2267328758247015,0.2202166417270031,0.9791822379818417,0.8453715740401947
33,FINETUNE,0.9648485997419443,0.49345764204596,0.4986144458561872,0.948669853358408,0.836251594107234,0.3524205481418136,0.32052954840096265,0.968967560295441,0.8601936367671303,0.2343975457294685,0.21936449502567643,0.9797580145197081,0.848437338623191
34,FINETUNE,0.9646687998420153,0.4821454489982761,0.5008172584054744,0.9487398275620534,0.837179224692468,0.35876392431202386,0.32164242974406965,0.9686655262431062,0.858307812182121,0.23521463300396755,0.21779781862080677,0.9793900969332476,0.8479200478595155
35,FINETUNE,0.9651017652038364,0.48261850825057623,0.495354237545908,0.9494278246866725,0.8380570721223535,0.363818519780425,0.32126704573228554,0.9686142962784772,0.8580660514869827,0.23063435022060463,0.21804775789524744,0.9798887411424566,0.8499877588922864
36,FINETUNE,0.9652971032197887,0.47344237701159664,0.49296286636221726,0.9498357834917482,0.8386632572937737,0.3595200229157396,0.3218003473169095,0.9685461381516229,0.857890369831456,0.22788335977167617,0.21867641821069625,0.9800382981928584,0.8496827251193387
37,FINETUNE,0.9653501449715811,0.4655148928935549,0.49298709327668216,0.9506471729431193,0.8409562243199132,0.3664673022216275,0.3233270768982333,0.9682196028118569,0.8584585045320866,0.23462887108325958,0.21993042470760715,0.9795262554101266,0.8488885938371159
38,FINETUNE,0.9653673235870374,0.46531503324487566,0.5046769803867931,0.9504837347121576,0.8406411326333958,0.359715142876518,0.3232661723285108,0.9682378674079419,0.856559174058914,0.23298198627989467,0.21615161782908207,0.9797420810809244,0.8486425146973251
39,FINETUNE,0.9652926827281293,0.4583245819780679,0.4932131241116903,0.9508162713725556,0.840678110528514,0.36750847856406454,0.32438542814673604,0.9676908204812943,0.8552972725206943,0.2310084266996965,0.21778925291253526,0.9795566737932594,0.8478054439641473
40,FINETUNE,0.9655524506918969,0.46187357881427865,0.4822455057791904,0.9515043392496559,0.8424745931167671,0.3668967500886544,0.32719298854872986,0.9673959140762124,0.8547790646359708,0.23111498552124674,0.22083328432828478,0.9797413568337071,0.8467062959952479
41,FINETUNE,0.965709862992751,0.45541353269884016,0.4917022129603192,0.9518540687629211,0.843084707997953,0.3715303846615918,0.32671069504844175,0.9673086003973663,0.8548658076840638,0.23527653182788594,0.21690609175892708,0.9798619439954112,0.8470276161273518
42,FINETUNE,0.9653746778334746,0.4566613836626036,0.4945554787342527,0.9511179599512656,0.8422300648889187,0.376083879497181,0.3287148617610738,0.9670248309411167,0.8536879553791877,0.23696177865310414,0.21713259440023921,0.9799325580991117,0.8474911333404032
43,FINETUNE,0.9652249112966723,0.44889587869422626,0.482585638102177,0.9512924355692532,0.8434960114584857,0.37122209826294256,0.33317998373830643,0.9661802047416673,0.852309248542428,0.2330840569807262,0.22198180854320526,0.9799231428852849,0.8466372441464024
44,FINETUNE,0.9651475034872806,0.4530213015335324,0.49521594672603947,0.951408186628064,0.843898960809292,0.37889453261887945,0.33247172097499306,0.9663846791222303,0.8528579251526323,0.23712281842784183,0.22048290544053883,0.9794302926538156,0.8469278369156926
45,FINETUNE,0.9652119673015795,0.45466019259353657,0.48437537938620134,0.952345373990539,0.8459294516797761,0.373919207526713,0.33284356978696744,0.9659543474193463,0.8510999986056799,0.23784754452545467,0.2206134233370568,0.9788860208699078,0.8450873670388449
46,FINETUNE,0.9650309860422615,0.45364338532090187,0.48173471955598984,0.9524391917802598,0.8463494930772536,0.3771644377840214,0.33610602206475026,0.9653605253076025,0.8490957076627088,0.24225300644955983,0.22356517750372007,0.9786977165933728,0.844161033897431
47,FINETUNE,0.9651173007679944,0.44412756055197883,0.4758687698471863,0.9533465215957798,0.8485945969723198,0.3688623995906642,0.3395919876324164,0.9650388902253226,0.847767073157738,0.24320034124865764,0.229562354029961,0.9781701024954662,0.8411592184012656
48,FINETUNE,0.9652841177868681,0.4482154462453538,0.47778242496790085,0.9531702064132878,0.8478477293852015,0.3807701402071382,0.3356832662546957,0.965567672555885,0.8510446580207074,0.24438117499031672,0.22624845759382525,0.9784561801463558,0.8421745978914329
49,FINETUNE,0.9648700043678675,0.45515087622720585,0.4756946741743425,0.953357275972882,0.8477282673977143,0.38905062622764486,0.3397296256310231,0.9648477801833588,0.8480151635908981,0.24908225067505022,0.23069174189880057,0.9775975850700781,0.8390575152218431
